"Strain","Resistant","Sensitive","Resistant:Sensitive"
"CB4855",7,14,0.5
"CB4856",9,12,0.75
"ECA36",13,8,1.6
"ECA396",4,17,0.24
"MY16",5,16,0.31
"RC301",5,16,0.31
"XZ1516",8,13,0.62
