"Toxicant","strain1","strain2","Relative.Potency.Estimate","SE","t.value","p.value","p...0.05"
"Copper(II) chloride","strainECA396","strainPD1074",0.822725418969943,0.0495770208158337,-3.57574089997436,"0.000354","T"
"Copper(II) chloride","strainECA396","strainRC301",0.861422283831229,0.0519380527598731,-2.66813461046493,"0.007661","T"
"Copper(II) chloride","strainECA396","strainXZ1516",0.834904562314149,0.0520467559910339,-3.1720600937029,"0.001526","T"
"Copper(II) chloride","strainMY16","strainPD1074",1.18530301280462,0.0759144952418528,2.4409437514439,"0.014696","T"
"Copper(II) chloride","strainMY16","strainRC301",1.2410537036774,0.0795740350707765,3.02930099577078,"0.002468","T"
"Copper(II) chloride","strainMY16","strainXZ1516",1.20284954165423,0.0791996931553682,2.56124150956363,"0.01047","T"
"Copper(II) chloride","strainPD1074","strainRC301",1.04703496934583,0.0660708539400966,0.711886808493094,"0.47658","F"
"Copper(II) chloride","strainPD1074","strainXZ1516",1.01480341200525,0.0659451348239341,0.224480730000404,"0.822396","F"
"Copper(II) chloride","strainRC301","strainXZ1516",0.969216350662371,0.0630399229252799,-0.488319907594367,"0.625353","F"
"Methylmercury chloride","strainCB4856","strainECA248",1.00249275042331,0.0663275776416611,0.0375824131069249,"0.970024","F"
"Methylmercury chloride","strainCB4856","strainECA36",0.966514726991698,0.0619286044664421,-0.540707695527796,"0.588762","F"
"Methylmercury chloride","strainCB4856","strainECA396",0.854544036969168,0.057417298989846,-2.53331253106412,"0.011366","T"
"Methylmercury chloride","strainCB4856","strainMY16",1.10008732849367,0.0736454113953658,1.35904364708272,"0.174268","F"
"Methylmercury chloride","strainCB4856","strainPD1074",0.93145561106062,0.0588668867004673,-1.16439636578973,"0.244386","F"
"Methylmercury chloride","strainCB4856","strainRC301",0.819022642947138,0.0559630058868261,-3.23387484615912,"0.001239","T"
"Methylmercury chloride","strainCB4856","strainXZ1516",0.78500556107687,0.0540839721966737,-3.97519690568054,"0.000073","T"
"Methylmercury chloride","strainECA248","strainECA36",0.964111437797011,0.0630267500712941,-0.569417940198301,"0.569129","F"
"Methylmercury chloride","strainECA248","strainECA396",0.852419168725489,0.0584654349304713,-2.52424071504843,"0.011663","T"
"Methylmercury chloride","strainECA248","strainMY16",1.09735190407027,0.075268853444136,1.29338895991723,"0.196008","F"
"Methylmercury chloride","strainECA248","strainPD1074",0.92913949818321,0.0599227096328225,-1.18253166872776,"0.237119","F"
"Methylmercury chloride","strainECA248","strainRC301",0.81698610049928,0.0566189096496097,-3.23238120679673,"0.001245","T"
"Methylmercury chloride","strainECA248","strainXZ1516",0.783053603874338,0.0546646210818907,-3.96868014141476,"0.000075","T"
"Methylmercury chloride","strainECA36","strainECA396",0.884150042523365,0.0588331510247851,-1.96912719204569,"0.04906","T"
"Methylmercury chloride","strainECA36","strainMY16",1.13820027545541,0.0758180738894212,1.822788002462,"0.068467","F"
"Methylmercury chloride","strainECA36","strainPD1074",0.963726247565622,0.0599948800124101,-0.604614134187364,"0.545496","F"
"Methylmercury chloride","strainECA36","strainRC301",0.847397996196465,0.0569588544365034,-2.67916209539735,"0.007434","T"
"Methylmercury chloride","strainECA36","strainXZ1516",0.812202379492158,0.0549898489089994,-3.41513250597617,"0.000649","T"
"Methylmercury chloride","strainECA396","strainMY16",1.28733837099299,0.0895809517883025,3.20758336741087,"0.001357","T"
"Methylmercury chloride","strainECA396","strainPD1074",1.0900030551547,0.0715936715323203,1.2571370238229,"0.208834","F"
