Strain,CeNDR Release,Latitude,Longitude,Elevation,Locality description
CB4856,20160408,21.33,-157.86,60.0,Hawaii
ECA396,20170531,19.449831,-155.235493,1136.0,Hawaii
ECA248,20160408,37.44,-122.14,8.0,California
ECA36,20160408,-36.893333,174.745529,46.0,Auckland, New Zealand
MY16,20160408,51.93,7.57,61.0,North Rhine-Westphalia
N2,20160408,51.45,-2.59,9.0,England
RC301,20160408,47.99,7.84,268.0,Baden-Wurttemberg
XZ1516,20170531,22.149,-159.668,983.0,Hawaii
